YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,12.7,12.6,12.7,11.8,10.6,10.1,9.5,9.4,10.1,10.8,11.8,12.4,11.2,14732,NEW YORK Laguardia A,
198401-202012,10.6,10.4,10.2,10.0,8.7,8.1,7.4,7.0,7.3,8.4,9.4,9.9,9.0,14768,ROCHESTER,NY
198401-202012,9.7,9.6,9.6,9.2,7.9,7.2,6.8,6.3,6.8,7.7,9.1,9.4,8.3,14771,SYRACUSE,NY
198401-202012,8.5,8.4,8.3,7.8,6.1,5.2,4.9,4.5,4.7,5.7,7.1,7.7,6.6,03812,ASHEVILLE,NC
198401-202012,10.0,10.1,10.5,10.6,9.7,9.5,9.0,8.4,9.4,9.2,9.4,9.7,9.6,93729,CAPE HATTERAS,NC
198401-202012,6.6,7.1,7.6,7.6,6.7,6.1,5.7,5.4,6.1,5.7,5.9,6.1,6.4,13881,CHARLOTTE,NC
198401-202012,7.7,8.0,8.5,8.6,7.4,6.7,6.2,5.8,6.2,6.3,6.8,7.0,7.1,13723,GREENSBORO-WNSTN-SAL,
198401-202012,6.8,7.2,7.8,7.9,6.9,6.3,6.1,5.6,5.9,5.6,5.7,6.1,6.5,13722,RALEIGH,NC
198401-202012,8.0,8.4,9.0,9.2,8.2,7.6,7.2,6.5,7.2,6.8,7.1,7.3,7.7,13748,WILMINGTON,NC
198401-202012,9.2,9.0,10.1,10.7,10.6,9.5,8.5,8.6,9.0,9.5,9.0,9.0,9.4,24011,BISMARCK,ND
198401-202012,11.3,11.5,11.9,12.3,12.0,10.5,9.2,9.5,10.5,11.6,11.5,11.3,11.1,14914,FARGO,ND
199502-202012,11.0,10.7,11.0,11.3,11.2,9.7,8.4,8.5,9.8,10.6,10.6,10.7,10.3,14916,GRAND FORKS,ND
